naam,facility_count
's-Gravenhage,132
Alblasserdam,1
Albrandswaard,3
Alphen aan den Rijn,10
Barendrecht,3
Bodegraven-Reeuwijk,3
Capelle aan den IJssel,8
Delft,37
Dordrecht,19
Goeree-Overflakkee,13
Gorinchem,13
Gouda,12
Hardinxveld-Giessendam,2
Hendrik-Ido-Ambacht,2
Hillegom,6
Hoeksche Waard,13
Kaag en Braassem,3
Katwijk,22
Krimpen aan den IJssel,1
Krimpenerwaard,6
Lansingerland,5
Leiden,37
Leiderdorp,8
Leidschendam-Voorburg,39
Lisse,5
Maassluis,3
Midden-Delfland,2
Molenlanden,5
Nieuwkoop,5
Nissewaard,10
Noordwijk,10
Oegstgeest,10
Papendrecht,6
Pijnacker-Nootdorp,10
Ridderkerk,5
Rijswijk,10
Rotterdam,58
Schiedam,7
Sliedrecht,3
Teylingen,13
Vlaardingen,3
Voorne aan Zee,9
Voorschoten,10
Waddinxveen,4
Wassenaar,4
Westland,18
Zoetermeer,20
Zoeterwoude,2
Zuidplas,2
Zwijndrecht,4
